ACT_Code,n,Crop,Fodder,Fibre,Livestock,Wild food,Aquaculture,Water,Regulating,Recreation,title
L06,0,,,,,,,,,,undergound collapses
L07,0,,,,,,,,,,"storm, cyclone"
L08,0,,,,,,,,,,inundation (natural processes)
L09,0,,,,,,,,,,fire (natural)
L10,0,,,,,,,,,,other natural catastrophes
M,0,,,,,,,,,,Climate change
M01,0,,,,,,,,,,Changes in abiotic conditions
M01.01,0,,,,,,,,,,temperature changes (e.g. rise of temperature & extremes)
M01.02,0,,,,,,,,,,droughts and less precipitations
M01.03,0,,,,,,,,,,flooding and rising precipitations
M01.04,0,,,,,,,,,,pH-changes
M01.05,0,,,,,,,,,,"water flow changes (limnic, tidal and oceanic)"
M01.06,0,,,,,,,,,,wave exposure changes
M01.07,0,,,,,,,,,,sea-level changes
M02,0,,,,,,,,,,Changes in biotic conditions
M02.01,0,,,,,,,,,,habitat shifting and alteration
M02.02,0,,,,,,,,,,desynchronisation of processes
M02.03,0,,,,,,,,,,decline or extinction of species
M02.04,0,,,,,,,,,,migration of species (natural newcomers)
X,0,,,,,,,,,,No threats or pressures
XO,0,,,,,,,,,,
XE,0,,,,,,,,,,No threats or pressures
U,0,,,,,,,,,,migration of species (natural newcomers)
